exp_id	algo	reward_type	lr	net_arch	action_high	total_timesteps	wall_time_min	best_val_reward	ppo_sharpe	sp_sharpe	excess_sharpe	ppo_annret	sp_annret	ppo_maxdd	ppo_vol	ppo_turnover	status
001_baseline_1m	PPO	excess_return	0.0001	[128, 64]	5.0	1000000	13.6	0.2251	1.5213	2.3801	-0.8589	1.0305	1.5179	-0.465	0.6774	0.6301	LOSS
002_sac_1m	SAC	excess_return	0.0003	[256, 256]	5.0	1000000	38.2	0.6554	1.5517	2.3801	-0.8284	1.2236	1.5179	-0.4707	0.7885	1.5103	LOSS
003_ppo_sharpe	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.5	28.7521	2.0725	2.3801	-0.3076	1.3251	1.5179	-0.4228	0.6394	0.1462	LOSS
004_ppo_downside	PPO	downside_penalty	0.0001	[128, 64]	5.0	1000000	11.5	-7.9181	2.0682	2.3801	-0.3119	1.3106	1.5179	-0.4206	0.6337	0.2187	LOSS
006_ppo_sharpe_wide_net	PPO	sharpe	0.0001	[256, 128]	5.0	1000000	11.8	124.4316	1.956	2.3801	-0.4241	1.2575	1.5179	-0.4243	0.6429	0.2021	LOSS
007_ppo_sharpe_action10	PPO	sharpe	0.0001	[128, 64]	10.0	1000000	11.4	28.6593	2.0824	2.3801	-0.2978	1.3302	1.5179	-0.4231	0.6388	0.152	LOSS
008_ppo_sharpe_window16	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.7	22.4078	2.1918	2.3801	-0.1883	1.4462	1.5179	-0.4226	0.6598	0.3707	LOSS
009_ppo_sharpe_lr3e5	PPO	sharpe	3e-05	[128, 64]	5.0	1000000	11.5	66.4197	2.0187	2.3801	-0.3614	1.2856	1.5179	-0.4238	0.6368	0.015	LOSS
010_ppo_sharpe_lr3e4	PPO	sharpe	0.0003	[128, 64]	5.0	1000000	10.4	173.4617	2.0243	2.3801	-0.3558	1.2978	1.5179	-0.4271	0.6411	0.1559	LOSS
011_ppo_sharpe_window26	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	19.4462	2.1311	2.3801	-0.249	1.4021	1.5179	-0.4177	0.6579	0.3531	LOSS
012_ppo_sharpe_w16_2m	PPO	sharpe	0.0001	[128, 64]	5.0	2000000	23.0	22.4078	2.1901	2.3801	-0.19	1.4445	1.5179	-0.4225	0.6596	0.3707	LOSS
013_ppo_sharpe_n_epochs10	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	13.6	99.4611	2.0568	2.3801	-0.3233	1.3177	1.5179	-0.4249	0.6407	0.1932	LOSS
018_ppo_sharpe_w16_scorebias1	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.8	6.2136	1.855	2.3801	-0.5251	1.2242	1.5179	-0.4304	0.6599	0.2475	LOSS
018_ppo_sharpe_w16_scorebias1	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	15.3211	1.9611	2.3801	-0.419	1.2895	1.5179	-0.4217	0.6575	0.2943	LOSS
021_ppo_excess_scorebias1	PPO	excess_return	0.0001	[128, 64]	5.0	1000000	11.3	0.178	1.7923	2.3801	-0.5878	1.1565	1.5179	-0.4409	0.6453	0.4098	LOSS
022_ppo_sharpe_total_w16	PPO	sharpe_total	0.0001	[128, 64]	5.0	1000000	11.5	-10.0999	2.0178	2.3801	-0.3623	1.3477	1.5179	-0.4247	0.6679	0.3293	LOSS
023_ppo_sharpe_w16_ent02	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	20.0368	2.2276	2.3801	-0.1525	1.4854	1.5179	-0.4238	0.6668	0.4256	LOSS
024_ppo_sharpe_w16_ent_low	PPO	sharpe	0.0001	[128, 64]	5.0	1000000	11.6	22.0349	2.1451	2.3801	-0.235	1.3837	1.5179	-0.4216	0.645	0.2811	LOSS
